image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
rancher/k3s:v1.31.11-rc1-k3s1,k3s/v1.31.11-rc1,golang.org/x/net,v0.37.0,gobinary,CVE-2025-22872,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22872,bin/containerd-shim-runc-v2,0.38.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/k3s:v1.31.11-rc1-k3s1,k3s/v1.31.11-rc1,github.com/pion/interceptor,v0.1.37,gobinary,CVE-2025-49140,HIGH,https://avd.aquasec.com/nvd/cve-2025-49140,bin/k3s,0.1.39,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.31.11-rc1-k3s1,k3s/v1.31.11-rc1,golang.org/x/crypto,v0.24.0,gobinary,CVE-2024-45337,CRITICAL,https://avd.aquasec.com/nvd/cve-2024-45337,bin/k3s,0.31.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.31.11-rc1-k3s1,k3s/v1.31.11-rc1,golang.org/x/crypto,v0.24.0,gobinary,CVE-2025-22869,HIGH,https://avd.aquasec.com/nvd/cve-2025-22869,bin/k3s,0.35.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.31.11-rc1-k3s1,k3s/v1.31.11-rc1,gopkg.in/square/go-jose.v2,v2.6.0,gobinary,CVE-2024-28180,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-28180,bin/k3s,,false,not_affected,vulnerable_code_not_in_execute_path
rancher/local-path-provisioner:v0.0.31,k3s/v1.31.11-rc1,libcrypto3,3.3.2-r4,alpine,CVE-2024-12797,HIGH,https://avd.aquasec.com/nvd/cve-2024-12797,rancher/local-path-provisioner:v0.0.31 (alpine 3.21.2),3.3.3-r0,false,not_affected,vulnerable_code_cannot_be_controlled_by_adversary
rancher/local-path-provisioner:v0.0.31,k3s/v1.31.11-rc1,libssl3,3.3.2-r4,alpine,CVE-2024-12797,HIGH,https://avd.aquasec.com/nvd/cve-2024-12797,rancher/local-path-provisioner:v0.0.31 (alpine 3.21.2),3.3.3-r0,false,not_affected,vulnerable_code_cannot_be_controlled_by_adversary
rancher/local-path-provisioner:v0.0.31,k3s/v1.31.11-rc1,golang.org/x/net,v0.34.0,gobinary,CVE-2025-22870,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22870,usr/bin/local-path-provisioner,0.36.0,false,not_affected,vulnerable_code_not_present
rancher/local-path-provisioner:v0.0.31,k3s/v1.31.11-rc1,golang.org/x/net,v0.34.0,gobinary,CVE-2025-22872,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22872,usr/bin/local-path-provisioner,0.38.0,false,not_affected,vulnerable_code_not_present
rancher/local-path-provisioner:v0.0.31,k3s/v1.31.11-rc1,golang.org/x/oauth2,v0.25.0,gobinary,CVE-2025-22868,HIGH,https://avd.aquasec.com/nvd/cve-2025-22868,usr/bin/local-path-provisioner,0.27.0,false,not_affected,vulnerable_code_not_present
